,latitude,longitude,color,most similar,type
38,19.0,10.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
39,19.0,11.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
40,19.0,11.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
41,19.0,12.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
42,19.5,-8.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
43,19.5,-7.6,"(253, 250, 243)","(255, 255, 255)",HYPER ARID
44,19.5,-7.1,"(254, 252, 248)","(255, 255, 255)",HYPER ARID
45,19.5,-6.6,"(253, 251, 244)","(255, 255, 255)",HYPER ARID
46,19.5,-6.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
47,19.5,-5.6,"(248, 245, 236)","(255, 255, 255)",HYPER ARID
48,19.5,-5.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
49,19.5,-4.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
50,19.5,-4.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
51,19.5,-3.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
52,19.5,-3.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
53,19.5,-2.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
54,19.5,-2.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
55,19.5,-1.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
56,19.5,-1.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
57,19.5,-0.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
58,19.5,-0.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
59,19.5,0.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
60,19.5,0.9,"(253, 250, 244)","(255, 255, 255)",HYPER ARID
61,19.5,1.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
62,19.5,1.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
63,19.5,2.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
64,19.5,2.9,"(250, 250, 247)","(255, 255, 255)",HYPER ARID
65,19.5,3.4,"(230, 240, 246)","(255, 255, 255)",HYPER ARID
66,19.5,3.9,"(246, 243, 238)","(255, 255, 255)",HYPER ARID
67,19.5,4.4,"(238, 245, 240)","(255, 255, 255)",HYPER ARID
68,19.5,4.9,"(99, 126, 156)","(88, 211, 150)",HUMID
69,19.5,5.4,"(194, 206, 219)","(168, 253, 227)",SUB HUMID
70,19.5,5.9,"(248, 250, 248)","(255, 255, 255)",HYPER ARID
71,19.5,6.4,"(250, 250, 248)","(255, 255, 255)",HYPER ARID
72,19.5,6.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
73,19.5,7.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
74,19.5,7.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
75,19.5,8.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
76,19.5,8.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
77,19.5,9.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
78,19.5,9.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
79,19.5,10.4,"(235, 229, 234)","(255, 245, 208)",ARID
80,19.5,10.9,"(246, 243, 244)","(255, 255, 255)",HYPER ARID
81,19.5,11.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
82,19.5,11.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
83,19.5,12.4,"(247, 245, 241)","(255, 255, 255)",HYPER ARID
84,20.0,-8.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
85,20.0,-7.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
86,20.0,-7.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
87,20.0,-6.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
88,20.0,-6.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
89,20.0,-5.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
90,20.0,-5.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
91,20.0,-4.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
92,20.0,-4.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
93,20.0,-3.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
94,20.0,-3.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
95,20.0,-2.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
96,20.0,-2.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
97,20.0,-1.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
98,20.0,-1.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
99,20.0,-0.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
100,20.0,-0.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
101,20.0,0.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
102,20.0,0.9,"(248, 246, 245)","(255, 255, 255)",HYPER ARID
103,20.0,1.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
104,20.0,1.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
105,20.0,2.4,"(245, 242, 235)","(255, 255, 255)",HYPER ARID
106,20.0,2.9,"(247, 248, 248)","(255, 255, 255)",HYPER ARID
107,20.0,3.4,"(212, 226, 237)","(168, 253, 227)",SUB HUMID
108,20.0,3.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
109,20.0,4.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
110,20.0,4.9,"(249, 250, 248)","(255, 255, 255)",HYPER ARID
111,20.0,5.4,"(249, 250, 243)","(255, 255, 255)",HYPER ARID
112,20.0,5.9,"(248, 249, 248)","(255, 255, 255)",HYPER ARID
113,20.0,6.4,"(223, 232, 241)","(255, 255, 255)",HYPER ARID
114,20.0,6.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
115,20.0,7.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
116,20.0,7.9,"(251, 249, 247)","(255, 255, 255)",HYPER ARID
117,20.0,8.4,"(251, 249, 247)","(255, 255, 255)",HYPER ARID
118,20.0,8.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
119,20.0,9.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
120,20.0,9.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
121,20.0,10.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
122,20.0,10.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
123,20.0,11.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
124,20.0,11.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
125,20.0,12.4,"(247, 245, 241)","(255, 255, 255)",HYPER ARID
126,20.5,-8.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
127,20.5,-7.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
128,20.5,-7.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
129,20.5,-6.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
130,20.5,-6.1,"(238, 232, 236)","(255, 255, 255)",HYPER ARID
131,20.5,-5.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
132,20.5,-5.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
133,20.5,-4.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
134,20.5,-4.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
135,20.5,-3.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
136,20.5,-3.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
137,20.5,-2.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
138,20.5,-2.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
139,20.5,-1.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
140,20.5,-1.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
141,20.5,-0.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
142,20.5,-0.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
143,20.5,0.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
144,20.5,0.9,"(250, 250, 246)","(255, 255, 255)",HYPER ARID
145,20.5,1.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
146,20.5,1.9,"(109, 127, 149)","(88, 211, 150)",HUMID
147,20.5,2.4,"(107, 130, 158)","(88, 211, 150)",HUMID
148,20.5,2.9,"(248, 247, 241)","(255, 255, 255)",HYPER ARID
149,20.5,3.4,"(250, 249, 247)","(255, 255, 255)",HYPER ARID
150,20.5,3.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
151,20.5,4.4,"(228, 219, 227)","(255, 245, 208)",ARID
152,20.5,4.9,"(240, 236, 239)","(255, 255, 255)",HYPER ARID
153,20.5,5.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
154,20.5,5.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
155,20.5,6.4,"(242, 243, 241)","(255, 255, 255)",HYPER ARID
156,20.5,6.9,"(191, 199, 212)","(168, 253, 227)",SUB HUMID
157,20.5,7.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
158,20.5,7.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
159,20.5,8.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
160,20.5,8.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
161,20.5,9.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
162,20.5,9.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
163,20.5,10.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
164,20.5,10.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
165,20.5,11.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
166,20.5,11.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
167,20.5,12.4,"(250, 243, 225)","(255, 245, 208)",ARID
168,21.0,-8.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
169,21.0,-7.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
170,21.0,-7.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
171,21.0,-6.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
172,21.0,-6.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
173,21.0,-5.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
174,21.0,-5.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
175,21.0,-4.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
176,21.0,-4.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
177,21.0,-3.6,"(253, 252, 252)","(255, 255, 255)",HYPER ARID
178,21.0,-3.1,"(247, 244, 245)","(255, 255, 255)",HYPER ARID
179,21.0,-2.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
180,21.0,-2.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
181,21.0,-1.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
182,21.0,-1.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
183,21.0,-0.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
184,21.0,-0.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
185,21.0,0.4,"(250, 250, 248)","(255, 255, 255)",HYPER ARID
186,21.0,0.9,"(248, 250, 244)","(255, 255, 255)",HYPER ARID
187,21.0,1.4,"(158, 177, 198)","(168, 253, 227)",SUB HUMID
188,21.0,1.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
189,21.0,2.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
190,21.0,2.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
191,21.0,3.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
192,21.0,3.9,"(251, 249, 247)","(255, 255, 255)",HYPER ARID
193,21.0,4.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
194,21.0,4.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
195,21.0,5.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
196,21.0,5.9,"(249, 247, 247)","(255, 255, 255)",HYPER ARID
197,21.0,6.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
198,21.0,6.9,"(251, 250, 244)","(255, 255, 255)",HYPER ARID
199,21.0,7.4,"(112, 130, 147)","(88, 211, 150)",HUMID
200,21.0,7.9,"(246, 243, 239)","(255, 255, 255)",HYPER ARID
201,21.0,8.4,"(251, 249, 245)","(255, 255, 255)",HYPER ARID
202,21.0,8.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
203,21.0,9.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
204,21.0,9.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
205,21.0,10.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
206,21.0,10.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
207,21.0,11.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
208,21.0,11.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
209,21.0,12.4,"(247, 245, 241)","(255, 255, 255)",HYPER ARID
210,21.5,-8.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
211,21.5,-7.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
212,21.5,-7.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
213,21.5,-6.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
214,21.5,-6.1,"(249, 248, 246)","(255, 255, 255)",HYPER ARID
215,21.5,-5.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
216,21.5,-5.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
217,21.5,-4.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
218,21.5,-4.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
219,21.5,-3.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
220,21.5,-3.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
221,21.5,-2.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
222,21.5,-2.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
223,21.5,-1.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
224,21.5,-1.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
225,21.5,-0.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
226,21.5,-0.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
227,21.5,0.4,"(251, 250, 244)","(255, 255, 255)",HYPER ARID
228,21.5,0.9,"(123, 138, 164)","(88, 211, 150)",HUMID
229,21.5,1.4,"(246, 245, 237)","(255, 255, 255)",HYPER ARID
230,21.5,1.9,"(244, 240, 242)","(255, 255, 255)",HYPER ARID
231,21.5,2.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
232,21.5,2.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
233,21.5,3.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
234,21.5,3.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
235,21.5,4.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
236,21.5,4.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
237,21.5,5.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
238,21.5,5.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
239,21.5,6.4,"(250, 248, 247)","(255, 255, 255)",HYPER ARID
240,21.5,6.9,"(244, 240, 242)","(255, 255, 255)",HYPER ARID
241,21.5,7.4,"(248, 250, 245)","(255, 255, 255)",HYPER ARID
242,21.5,7.9,"(240, 245, 248)","(255, 255, 255)",HYPER ARID
243,21.5,8.4,"(227, 237, 246)","(255, 255, 255)",HYPER ARID
244,21.5,8.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
245,21.5,9.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
246,21.5,9.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
247,21.5,10.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
248,21.5,10.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
249,21.5,11.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
250,21.5,11.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
251,21.5,12.4,"(247, 245, 241)","(255, 255, 255)",HYPER ARID
252,22.0,-8.1,"(251, 249, 242)","(255, 255, 255)",HYPER ARID
253,22.0,-7.6,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
254,22.0,-7.1,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
255,22.0,-6.6,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
256,22.0,-6.1,"(188, 188, 186)","(168, 253, 227)",SUB HUMID
257,22.0,-5.6,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
258,22.0,-5.1,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
259,22.0,-4.6,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
260,22.0,-4.1,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
261,22.0,-3.6,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
262,22.0,-3.1,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
263,22.0,-2.6,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
264,22.0,-2.1,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
265,22.0,-1.6,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
266,22.0,-1.1,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
267,22.0,-0.6,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
268,22.0,-0.1,"(237, 242, 246)","(255, 255, 255)",HYPER ARID
269,22.0,0.4,"(200, 211, 236)","(168, 253, 227)",SUB HUMID
270,22.0,0.9,"(250, 249, 246)","(255, 255, 255)",HYPER ARID
271,22.0,1.4,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
272,22.0,1.9,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
273,22.0,2.4,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
274,22.0,2.9,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
275,22.0,3.4,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
276,22.0,3.9,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
277,22.0,4.4,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
278,22.0,4.9,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
279,22.0,5.4,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
280,22.0,5.9,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
281,22.0,6.4,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
282,22.0,6.9,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
283,22.0,7.4,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
284,22.0,7.9,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
285,22.0,8.4,"(250, 249, 239)","(255, 255, 255)",HYPER ARID
286,22.0,8.9,"(144, 157, 187)","(88, 211, 150)",HUMID
287,22.0,9.4,"(243, 244, 243)","(255, 255, 255)",HYPER ARID
288,22.0,9.9,"(249, 246, 239)","(255, 255, 255)",HYPER ARID
289,22.0,10.4,"(251, 249, 242)","(255, 255, 255)",HYPER ARID
290,22.0,10.9,"(251, 249, 242)","(255, 255, 255)",HYPER ARID
291,22.0,11.4,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
292,22.0,11.9,"(250, 249, 248)","(255, 255, 255)",HYPER ARID
293,22.0,12.4,"(245, 243, 239)","(255, 255, 255)",HYPER ARID
294,22.5,-8.1,"(252, 250, 244)","(255, 255, 255)",HYPER ARID
295,22.5,-7.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
296,22.5,-7.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
297,22.5,-6.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
298,22.5,-6.1,"(163, 162, 161)","(88, 211, 150)",HUMID
299,22.5,-5.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
300,22.5,-5.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
301,22.5,-4.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
302,22.5,-4.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
303,22.5,-3.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
304,22.5,-3.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
305,22.5,-2.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
306,22.5,-2.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
307,22.5,-1.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
308,22.5,-1.1,"(250, 250, 241)","(255, 255, 255)",HYPER ARID
309,22.5,-0.6,"(103, 123, 147)","(88, 211, 150)",HUMID
310,22.5,-0.1,"(250, 252, 246)","(255, 255, 255)",HYPER ARID
311,22.5,0.4,"(253, 252, 251)","(255, 255, 255)",HYPER ARID
312,22.5,0.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
313,22.5,1.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
314,22.5,1.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
315,22.5,2.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
316,22.5,2.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
317,22.5,3.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
318,22.5,3.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
319,22.5,4.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
320,22.5,4.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
321,22.5,5.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
322,22.5,5.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
323,22.5,6.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
324,22.5,6.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
325,22.5,7.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
326,22.5,7.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
327,22.5,8.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
328,22.5,8.9,"(250, 250, 248)","(255, 255, 255)",HYPER ARID
329,22.5,9.4,"(246, 250, 248)","(255, 255, 255)",HYPER ARID
330,22.5,9.9,"(104, 127, 148)","(88, 211, 150)",HUMID
331,22.5,10.4,"(250, 250, 246)","(255, 255, 255)",HYPER ARID
332,22.5,10.9,"(250, 250, 244)","(255, 255, 255)",HYPER ARID
333,22.5,11.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
334,22.5,11.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
335,22.5,12.4,"(247, 245, 241)","(255, 255, 255)",HYPER ARID
336,23.0,-8.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
337,23.0,-7.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
338,23.0,-7.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
339,23.0,-6.6,"(252, 250, 243)","(255, 255, 255)",HYPER ARID
340,23.0,-6.1,"(239, 238, 237)","(255, 255, 255)",HYPER ARID
341,23.0,-5.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
342,23.0,-5.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
343,23.0,-4.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
344,23.0,-4.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
345,23.0,-3.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
346,23.0,-3.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
347,23.0,-2.6,"(248, 250, 246)","(255, 255, 255)",HYPER ARID
348,23.0,-2.1,"(250, 250, 248)","(255, 255, 255)",HYPER ARID
349,23.0,-1.6,"(238, 244, 248)","(255, 255, 255)",HYPER ARID
350,23.0,-1.1,"(241, 249, 248)","(255, 255, 255)",HYPER ARID
351,23.0,-0.6,"(250, 250, 248)","(255, 255, 255)",HYPER ARID
352,23.0,-0.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
353,23.0,0.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
354,23.0,0.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
355,23.0,1.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
