,latitude,longitude,color,most similar,type
35,19.0,-4.6,"(244, 242, 237)","(255, 255, 255)",HYPER ARID
36,19.0,-4.5,"(241, 238, 231)","(255, 245, 208)",ARID
37,19.0,-4.4,"(245, 232, 224)","(255, 245, 208)",ARID
38,19.0,-4.3,"(242, 239, 233)","(255, 245, 208)",ARID
39,19.0,-4.2,"(242, 239, 233)","(255, 245, 208)",ARID
40,19.0,-4.1,"(232, 234, 220)","(255, 245, 208)",ARID
41,19.0,-4.0,"(242, 239, 233)","(255, 245, 208)",ARID
42,19.0,-3.9,"(242, 239, 232)","(255, 245, 208)",ARID
43,19.0,-3.8,"(240, 183, 194)","(255, 245, 208)",ARID
44,19.0,-3.7,"(243, 241, 235)","(255, 255, 255)",HYPER ARID
45,19.0,-3.6,"(242, 239, 233)","(255, 245, 208)",ARID
46,19.0,-3.5,"(193, 220, 227)","(168, 253, 227)",SUB HUMID
47,19.0,-3.4,"(207, 227, 229)","(168, 253, 227)",SUB HUMID
48,19.0,-3.3,"(242, 239, 233)","(255, 245, 208)",ARID
49,19.0,-3.2,"(246, 245, 240)","(255, 255, 255)",HYPER ARID
50,19.0,-3.1,"(246, 228, 229)","(255, 245, 208)",ARID
51,19.0,-3.0,"(212, 229, 197)","(255, 245, 208)",ARID
52,19.0,-2.9,"(213, 227, 200)","(255, 245, 208)",ARID
53,19.0,-2.8,"(194, 221, 192)","(168, 253, 227)",SUB HUMID
54,19.0,-2.7,"(217, 228, 203)","(255, 245, 208)",ARID
55,19.0,-2.6,"(221, 228, 210)","(255, 245, 208)",ARID
56,19.0,-2.5,"(215, 229, 201)","(255, 245, 208)",ARID
57,19.0,-2.4,"(221, 228, 200)","(255, 245, 208)",ARID
58,19.0,-2.3,"(213, 204, 205)","(255, 245, 208)",ARID
59,19.0,-2.2,"(216, 207, 210)","(255, 245, 208)",ARID
60,19.0,-2.1,"(202, 187, 200)","(255, 245, 208)",ARID
61,19.0,-2.0,"(215, 209, 209)","(255, 245, 208)",ARID
62,19.0,-1.9,"(199, 184, 195)","(168, 253, 227)",SUB HUMID
63,19.0,-1.8,"(216, 205, 214)","(255, 245, 208)",ARID
64,19.0,-1.7,"(201, 184, 198)","(168, 253, 227)",SUB HUMID
65,19.0,-1.6,"(236, 230, 232)","(255, 245, 208)",ARID
66,19.0,-1.5,"(240, 244, 232)","(255, 245, 208)",ARID
67,19.0,-1.4,"(195, 176, 189)","(168, 253, 227)",SUB HUMID
68,19.0,-1.3,"(185, 160, 179)","(168, 253, 227)",SUB HUMID
69,19.0,-1.2,"(242, 239, 232)","(255, 245, 208)",ARID
70,19.0,-1.1,"(226, 183, 185)","(255, 245, 208)",ARID
71,19.0,-1.0,"(245, 205, 194)","(255, 245, 208)",ARID
72,19.0,-0.9,"(243, 243, 236)","(255, 255, 255)",HYPER ARID
73,19.0,-0.8,"(249, 244, 240)","(255, 255, 255)",HYPER ARID
74,19.0,-0.7,"(216, 189, 189)","(255, 245, 208)",ARID
75,19.0,-0.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
76,19.0,-0.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
77,19.0,-0.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
78,19.0,-0.3,"(170, 208, 220)","(168, 253, 227)",SUB HUMID
79,19.0,-0.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
80,19.0,-0.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
81,19.0,0.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
82,19.0,0.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
83,19.0,0.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
84,19.0,0.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
85,19.0,0.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
86,19.0,0.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
87,19.0,0.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
88,19.0,0.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
89,19.0,0.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
90,19.0,0.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
91,19.0,1.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
92,19.0,1.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
93,19.0,1.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
94,19.0,1.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
95,19.0,1.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
96,19.0,1.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
97,19.0,1.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
98,19.0,1.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
99,19.0,1.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
100,19.0,1.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
101,19.0,2.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
102,19.0,2.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
103,19.0,2.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
104,19.0,2.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
105,19.0,2.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
106,19.0,2.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
107,19.0,2.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
108,19.0,2.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
109,19.0,2.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
110,19.0,2.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
111,19.0,3.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
112,19.0,3.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
113,19.0,3.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
114,19.0,3.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
115,19.0,3.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
116,19.0,3.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
117,19.0,3.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
118,19.0,3.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
119,19.0,3.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
120,19.0,3.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
121,19.0,4.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
122,19.0,4.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
123,19.0,4.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
124,19.0,4.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
125,19.0,4.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
126,19.0,4.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
127,19.0,4.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
128,19.0,4.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
129,19.0,4.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
130,19.0,4.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
131,19.0,5.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
132,19.0,5.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
133,19.0,5.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
134,19.0,5.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
135,19.0,5.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
136,19.0,5.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
137,19.0,5.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
138,19.0,5.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
139,19.0,5.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
140,19.0,5.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
141,19.0,6.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
142,19.0,6.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
143,19.0,6.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
144,19.0,6.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
145,19.0,6.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
146,19.0,6.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
147,19.0,6.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
148,19.0,6.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
149,19.0,6.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
150,19.0,6.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
151,19.0,7.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
152,19.0,7.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
153,19.0,7.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
154,19.0,7.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
155,19.0,7.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
156,19.0,7.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
157,19.0,7.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
158,19.0,7.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
159,19.0,7.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
160,19.0,7.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
161,19.0,8.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
162,19.0,8.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
163,19.0,8.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
164,19.0,8.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
165,19.0,8.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
166,19.0,8.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
167,19.0,8.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
168,19.0,8.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
169,19.0,8.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
170,19.0,8.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
171,19.0,9.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
172,19.0,9.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
173,19.0,9.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
174,19.0,9.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
175,19.0,9.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
176,19.0,9.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
177,19.0,9.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
178,19.0,9.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
179,19.0,9.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
180,19.0,9.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
181,19.0,10.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
182,19.0,10.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
183,19.0,10.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
184,19.0,10.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
185,19.0,10.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
186,19.0,10.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
187,19.0,10.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
188,19.0,10.7,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
189,19.0,10.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
190,19.0,10.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
191,19.0,11.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
192,19.0,11.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
193,19.0,11.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
194,19.0,11.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
195,19.0,11.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
196,19.0,11.5,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
197,19.0,11.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
198,19.0,11.7,"(170, 204, 218)","(168, 253, 227)",SUB HUMID
199,19.0,11.8,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
200,19.0,11.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
201,19.0,12.0,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
202,19.0,12.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
203,19.0,12.2,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
204,19.0,12.3,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
205,19.0,12.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
206,19.1,-8.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
207,19.1,-8.0,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
208,19.1,-7.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
209,19.1,-7.8,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
210,19.1,-7.7,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
211,19.1,-7.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
212,19.1,-7.5,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
213,19.1,-7.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
214,19.1,-7.3,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
215,19.1,-7.2,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
216,19.1,-7.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
217,19.1,-7.0,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
218,19.1,-6.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
219,19.1,-6.8,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
220,19.1,-6.7,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
221,19.1,-6.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
222,19.1,-6.5,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
223,19.1,-6.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
224,19.1,-6.3,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
225,19.1,-6.2,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
226,19.1,-6.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
227,19.1,-6.0,"(252, 249, 241)","(255, 255, 255)",HYPER ARID
228,19.1,-5.9,"(243, 238, 234)","(255, 245, 208)",ARID
229,19.1,-5.8,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
230,19.1,-5.7,"(185, 182, 174)","(168, 253, 227)",SUB HUMID
231,19.1,-5.6,"(239, 236, 227)","(255, 245, 208)",ARID
232,19.1,-5.5,"(251, 248, 239)","(255, 255, 255)",HYPER ARID
233,19.1,-5.4,"(252, 249, 241)","(255, 255, 255)",HYPER ARID
234,19.1,-5.3,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
235,19.1,-5.2,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
236,19.1,-5.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
237,19.1,-5.0,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
238,19.1,-4.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
239,19.1,-4.8,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
240,19.1,-4.7,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
241,19.1,-4.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
242,19.1,-4.5,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
243,19.1,-4.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
244,19.1,-4.3,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
245,19.1,-4.2,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
246,19.1,-4.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
247,19.1,-4.0,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
248,19.1,-3.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
249,19.1,-3.8,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
250,19.1,-3.7,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
251,19.1,-3.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
252,19.1,-3.5,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
253,19.1,-3.4,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
254,19.1,-3.3,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
255,19.1,-3.2,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
256,19.1,-3.1,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
257,19.1,-3.0,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
258,19.1,-2.9,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
259,19.1,-2.8,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
260,19.1,-2.7,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
261,19.1,-2.6,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
262,19.1,-2.5,"(253, 250, 241)","(255, 255, 255)",HYPER ARID
263,19.1,-2.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
264,19.1,-2.3,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
265,19.1,-2.2,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
266,19.1,-2.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
267,19.1,-2.0,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
268,19.1,-1.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
269,19.1,-1.8,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
270,19.1,-1.7,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
271,19.1,-1.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
272,19.1,-1.5,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
273,19.1,-1.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
274,19.1,-1.3,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
275,19.1,-1.2,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
276,19.1,-1.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
277,19.1,-1.0,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
278,19.1,-0.9,"(247, 245, 245)","(255, 255, 255)",HYPER ARID
279,19.1,-0.8,"(244, 240, 242)","(255, 255, 255)",HYPER ARID
280,19.1,-0.7,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
281,19.1,-0.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
282,19.1,-0.5,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
283,19.1,-0.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
284,19.1,-0.3,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
285,19.1,-0.2,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
286,19.1,-0.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
287,19.1,0.0,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
288,19.1,0.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
289,19.1,0.2,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
290,19.1,0.3,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
291,19.1,0.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
292,19.1,0.5,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
293,19.1,0.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
294,19.1,0.7,"(252, 250, 247)","(255, 255, 255)",HYPER ARID
295,19.1,0.8,"(252, 250, 244)","(255, 255, 255)",HYPER ARID
296,19.1,0.9,"(251, 250, 243)","(255, 255, 255)",HYPER ARID
297,19.1,1.0,"(251, 249, 247)","(255, 255, 255)",HYPER ARID
298,19.1,1.1,"(252, 250, 245)","(255, 255, 255)",HYPER ARID
299,19.1,1.2,"(251, 250, 247)","(255, 255, 255)",HYPER ARID
300,19.1,1.3,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
301,19.1,1.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
302,19.1,1.5,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
303,19.1,1.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
304,19.1,1.7,"(250, 250, 248)","(255, 255, 255)",HYPER ARID
305,19.1,1.8,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
306,19.1,1.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
307,19.1,2.0,"(248, 249, 248)","(255, 255, 255)",HYPER ARID
308,19.1,2.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
309,19.1,2.2,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
310,19.1,2.3,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
311,19.1,2.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
312,19.1,2.5,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
313,19.1,2.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
314,19.1,2.7,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
315,19.1,2.8,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
316,19.1,2.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
317,19.1,3.0,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
318,19.1,3.1,"(249, 247, 239)","(255, 255, 255)",HYPER ARID
319,19.1,3.2,"(237, 232, 236)","(255, 255, 255)",HYPER ARID
320,19.1,3.3,"(224, 228, 237)","(255, 255, 255)",HYPER ARID
321,19.1,3.4,"(198, 204, 220)","(168, 253, 227)",SUB HUMID
322,19.1,3.5,"(224, 227, 236)","(255, 245, 208)",ARID
323,19.1,3.6,"(235, 237, 242)","(255, 255, 255)",HYPER ARID
324,19.1,3.7,"(242, 244, 247)","(255, 255, 255)",HYPER ARID
325,19.1,3.8,"(248, 250, 248)","(255, 255, 255)",HYPER ARID
326,19.1,3.9,"(248, 250, 248)","(255, 255, 255)",HYPER ARID
327,19.1,4.0,"(248, 248, 248)","(255, 255, 255)",HYPER ARID
328,19.1,4.1,"(248, 247, 247)","(255, 255, 255)",HYPER ARID
329,19.1,4.2,"(242, 234, 238)","(255, 255, 255)",HYPER ARID
330,19.1,4.3,"(210, 205, 204)","(255, 245, 208)",ARID
331,19.1,4.4,"(232, 226, 226)","(255, 245, 208)",ARID
332,19.1,4.5,"(251, 249, 248)","(255, 255, 255)",HYPER ARID
333,19.1,4.6,"(251, 249, 248)","(255, 255, 255)",HYPER ARID
334,19.1,4.7,"(251, 250, 246)","(255, 255, 255)",HYPER ARID
335,19.1,4.8,"(251, 250, 246)","(255, 255, 255)",HYPER ARID
336,19.1,4.9,"(250, 250, 246)","(255, 255, 255)",HYPER ARID
337,19.1,5.0,"(250, 250, 247)","(255, 255, 255)",HYPER ARID
338,19.1,5.1,"(250, 250, 248)","(255, 255, 255)",HYPER ARID
339,19.1,5.2,"(250, 250, 248)","(255, 255, 255)",HYPER ARID
340,19.1,5.3,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
341,19.1,5.4,"(251, 250, 247)","(255, 255, 255)",HYPER ARID
342,19.1,5.5,"(251, 250, 245)","(255, 255, 255)",HYPER ARID
343,19.1,5.6,"(251, 250, 244)","(255, 255, 255)",HYPER ARID
344,19.1,5.7,"(251, 250, 244)","(255, 255, 255)",HYPER ARID
345,19.1,5.8,"(251, 250, 247)","(255, 255, 255)",HYPER ARID
346,19.1,5.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
347,19.1,6.0,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
348,19.1,6.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
349,19.1,6.2,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
350,19.1,6.3,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
351,19.1,6.4,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
352,19.1,6.5,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
353,19.1,6.6,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
354,19.1,6.7,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
355,19.1,6.8,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
356,19.1,6.9,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
357,19.1,7.0,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
358,19.1,7.1,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
359,19.1,7.2,"(251, 250, 248)","(255, 255, 255)",HYPER ARID
